from,to
[339723243;344240555;339535951;338252416;335854703],334268421
[346638444;343493861;334996548],339723243
[null],344240555
[339039000;345849626],339535951
[339950952;347819544;345316821;342641545;341848581;341608479;340662435;339519503;346264903;339058586],338252416
[null],335854703
[null],346638444
[null],343493861
[341783650],334996548
[346933747;345849626;345373895;341302014;341209498],339039000
[null],345849626
[347897708;348151632;348080295;348034763;347865975;346514119;345785903;345486120;345468721;345140495],339950952
[null],347819544
[null],345316821
[344421996;343926095;343320823],342641545
[346140791;347798030;347193933;346334102;345987646;344692729;344430845;343578529;343663333;344343134],341848581
[null],341608479
[null],340662435
[342641545;342601799],339519503
[null],346264903
[343020064;344717818;340019652;339624238;344782362],339058586
[null],341783650
[null],346933747
[null],345373895
[345849626],341302014
[null],341209498
[null],347897708
[null],348151632
[null],348080295
[null],348034763
[null],347865975
[null],346514119
[null],345785903
[null],345486120
[null],345468721
[null],345140495
[346762978;347071891;347361401;347452179;346570972;347000672;347796007;347913098;347084721;346040693],344421996
[346437115;347431062],346762978
[347890010;347951684;344440595],343926095
[347352396;345023312],343320823
[null],346140791
[null],347798030
[null],347193933
[347293905],346334102
[null],345987646
[null],344692729
[345673832],344430845
[345321853],343578529
[347185103;344418646;345987646],343663333
[347443154;346793441],344343134
[null],342601799
[null],343020064
[null],344717818
[346824357;344331558;344140235;342013403;344421245;343718521;343375824;342013043;340098358],340019652
[343698387;342346478;347767144;344079034],340098358
[343561617],342346478
[null],347767144
[346154079],343561617
[null],346154079
[344383730],343698387
[347615011],344383730
[null],347615011
[347967988;346547633;344409530;347094293;346369389;344314943;344658498;344717545;344812517;344948317],339624238
[347963749;346021874;344289104;348088782;346555250;344547571],344140235
[346510396],344547571
[null],346510396
[null],344289104
[null],346555250
[null],348088782
[null],346021874
[null],347963749
[null],344948317
[null],344658498
[null],344717545
[null],344812517
[346550714],344314943
[null],346550714
[null],346369389
[null],347094293
[346109015],344409530
[null],346109015
[null],346547633
[null],347967988
[null],344079034
[346972918;346499057],343718521
[null],342013043
[347521871],346972918
[null],347521871
[null],342013403
[346949531],344331558
[null],346949531
[null],346824357
[null],344782362
[null],347890010
[null],347951684
[347844082],344440595
[null],347352396
[null],345023312
[null],347293905
[null],345673832
[null],345321853
[null],347844082
[null],347185103
[345940991],344418646
[null],345940991
[null],347443154
[null],346793441
[null],347071891
[null],347361401
[null],347452179
[null],346570972
[null],347000672
[null],347913098
[null],347796007
[null],347084721
[null],346040693
[null],346437115
[347512391],347431062
[null],347512391
[null],344421245
[null],346499057
[null],343375824
