id;title;link
1765405;Totally geodesic submanifolds of the complex and the quaternionic 2-Grassmannians ;https://www.researchgate.net/publication/1765405_Totally_geodesic_submanifolds_of_the_complex_and_the_quaternionic_2-Grassmannians
342901857;The (M+,M-)-method on compact symmetric spaces and its applications;https://www.researchgate.net/publication/342901857_The_MM--method_on_compact_symmetric_spaces_and_its_applications
346534544;Commuting Jacobi Operators on Real Hypersurfaces of Type B in the Complex Quadric;https://www.researchgate.net/publication/346534544_Commuting_Jacobi_Operators_on_Real_Hypersurfaces_of_Type_B_in_the_Complex_Quadric
328550531;Real hypersurfaces with commuting Jacobi operator in the complex quadric;https://www.researchgate.net/publication/328550531_Real_hypersurfaces_with_commuting_Jacobi_operator_in_the_complex_quadric
341507449;Homogeneous and inhomogeneous isoparametric hypersurfaces in rank one symmetric spaces;https://www.researchgate.net/publication/341507449_Homogeneous_and_inhomogeneous_isoparametric_hypersurfaces_in_rank_one_symmetric_spaces
339674446;The Index Conjecture for Symmetric Spaces;https://www.researchgate.net/publication/339674446_The_Index_Conjecture_for_Symmetric_Spaces
331338889;Submanifold geometry in symmetric spaces of noncompact type;https://www.researchgate.net/publication/331338889_Submanifold_geometry_in_symmetric_spaces_of_noncompact_type
330626084;Pseudo-anti commuting Ricci tensor for real hypersurfaces in the complex hyperbolic quadric;https://www.researchgate.net/publication/330626084_Pseudo-anti_commuting_Ricci_tensor_for_real_hypersurfaces_in_the_complex_hyperbolic_quadric
320727675;Low-dimensional totally geodesic submanifolds in "skew" position in the symmetric spaces of rank 2;https://www.researchgate.net/publication/320727675_Low-dimensional_totally_geodesic_submanifolds_in_skew_position_in_the_symmetric_spaces_of_rank_2
327320142;Derivatives of the Shape Operator of Real Hypersurfaces in the Complex Quadric;https://www.researchgate.net/publication/327320142_Derivatives_of_the_Shape_Operator_of_Real_Hypersurfaces_in_the_Complex_Quadric
325856867;Real Hypersurfaces in the Complex Hyperbolic Quadric with Parallel Normal Jacobi Operato;https://www.researchgate.net/publication/325856867_Real_Hypersurfaces_in_the_Complex_Hyperbolic_Quadric_with_Parallel_Normal_Jacobi_Operator
269708320;Totally geodesic submanifolds in Riemannian symmetric spaces;https://www.researchgate.net/publication/269708320_Totally_geodesic_submanifolds_in_Riemannian_symmetric_spaces
342461002;Derivatives of normal Jacobi operator on real hypersurfaces in the complex quadric;https://www.researchgate.net/publication/342461002_Derivatives_of_normal_Jacobi_operator_on_real_hypersurfaces_in_the_complex_quadric
339972561;Commuting Jacobi operators on Real hypersurfaces of Type B in the complex quadric;https://www.researchgate.net/publication/339972561_Commuting_Jacobi_operators_on_Real_hypersurfaces_of_Type_B_in_the_complex_quadric
332807285;Commutativity of Cho and normal Jacobi operators on real hypersurfaces in the complex quadric;https://www.researchgate.net/publication/332807285_Commutativity_of_Cho_and_normal_Jacobi_operators_on_real_hypersurfaces_in_the_complex_quadric
341192206;Real Hypersurfaces in $$Q^m$$Qm with Commuting Structure Jacobi Operator;https://www.researchgate.net/publication/341192206_Real_Hypersurfaces_in_QmQm_with_Commuting_Structure_Jacobi_Operator
332339564;A nonisoparametric hypersurface with constant principal curvatures;https://www.researchgate.net/publication/332339564_A_nonisoparametric_hypersurface_with_constant_principal_curvatures
331645050;A nonisoparametric hypersurface with constant principal curvatures;https://www.researchgate.net/publication/331645050_A_nonisoparametric_hypersurface_with_constant_principal_curvatures
339511288;Real Hypersurfaces in the Complex Hyperbolic Quadric with Reeb Parallel Structure Jacobi Operator; https://www.researchgate.net/publication/339511288_Real_Hypersurfaces_in_the_Complex_Hyperbolic_Quadric_with_Reeb_Parallel_Structure_Jacobi_Operator
332701312;Some Real Hypersurfaces in Complex and Complex Hyperbolic Quadrics;https://www.researchgate.net/publication/332701312_Some_Real_Hypersurfaces_in_Complex_and_Complex_Hyperbolic_Quadrics
337715305;Principal symmetric space analysis;https://www.researchgate.net/publication/337715305_Principal_symmetric_space_analysis
241680979;Totally geodesic submanifolds of regular Sasakian manifolds;https://www.researchgate.net/publication/241680979_Totally_geodesic_submanifolds_of_regular_Sasakian_manifolds
51933974;Parallel submanifolds of the real 2-Grassmannian;https://www.researchgate.net/publication/51933974_Parallel_submanifolds_of_the_real_2-Grassmannian
335158907;Principal symmetric space analysis;https://www.researchgate.net/publication/335158907_Principal_symmetric_space_analysis
295106086;Totally Geodesic Surfaces of Riemannian Symmetric Spaces; https://www.researchgate.net/publication/295106086_Totally_Geodesic_Surfaces_of_Riemannian_Symmetric_Spaces
283225565;On Totally Geodesic Surfaces in Symmetric Spaces of Type AI;https://www.researchgate.net/publication/283225565_On_Totally_Geodesic_Surfaces_in_Symmetric_Spaces_of_Type_AI
51918033;Weyl-Schouten Theorem for symmetric spaces;https://www.researchgate.net/publication/51918033_Weyl-Schouten_Theorem_for_symmetric_spaces
343463647;New Conditions on Normal Jacobi Operator of Real Hypersurfaces in the Complex Quadric;https://www.researchgate.net/publication/343463647_New_Conditions_on_Normal_Jacobi_Operator_of_Real_Hypersurfaces_in_the_Complex_Quadric
341396562;Recent advances in directional statistics;https://www.researchgate.net/publication/341396562_Recent_advances_in_directional_statistics
337715395;Preface Special issue in honor of Reinout Quispel;https://www.researchgate.net/publication/337715395_Preface_Special_issue_in_honor_of_Reinout_Quispel
221707754;Submanifolds of Products of Space Forms;https://www.researchgate.net/publication/221707754_Submanifolds_of_Products_of_Space_Forms
